Full list of first forenames given to boys, Scotland, 2021 (final) in rank order,,,,,,,,,
,,,,,,,,,
NB: * indicates that, sadly, a baby who was given that first forename has since died.,,,,,,,,,
,,,,,,,,,
Rank1,Boys' names,Number of babies,NB,,,,,,
,,,,,,,,,
353=, FIONN, 10, , , , , , ,
353=, FLETCHER, 10, , , , , , ,
353=, FRANCISZEK, 10, , , , , , ,
353=, FRANK, 10, , , , , , ,
353=, FYNN, 10, , , , , , ,
353=, KOA, 10, , , , , , ,
353=, KOBI, 10, , , , , , ,
353=, LEE, 10, , , , , , ,
353=, NAIRN, 10, , , , , , ,
353=, NEIL, 10, , , , , , ,
353=, OLIVIER, 10, , , , , , ,
353=, ROAN, 10, , , , , , ,
353=, SORLEY, 10, , , , , , ,
353=, YAHYA, 10, *, , , , , ,
353=, ZAIN, 10, , , , , , ,
353=, ZAYN, 10, , , , , , ,
372=, CADEN, 9, , , , , , ,
372=, COEN, 9, , , , , , ,
372=, CONAN, 9, , , , , , ,
372=, DAMON, 9, , , , , , ,
372=, DAWSON, 9, , , , , , ,
372=, FREDDY, 9, , , , , , ,
372=, GRANT, 9, , , , , , ,
372=, HARIS, 9, , , , , , ,
372=, HENDRIX, 9, , , , , , ,
372=, IAN, 9, , , , , , ,
372=, JAKUB, 9, , , , , , ,
372=, JENSEN, 9, , , , , , ,
372=, KACPER, 9, , , , , , ,
372=, KAYSON, 9, , , , , , ,
372=, KYLO, 9, , , , , , ,
372=, LEYTON, 9, , , , , , ,
372=, LOMOND, 9, , , , , , ,
372=, MILAN, 9, *, , , , , ,
372=, NICOLAS, 9, , , , , , ,
372=, RAMSAY, 9, , , , , , ,
372=, RODDY, 9, , , , , , ,
372=, STEVEN, 9, , , , , , ,
372=, SYED, 9, , , , , , ,
372=, SZYMON, 9, , , , , , ,
372=, TED, 9, , , , , , ,
372=, TEODOR, 9, , , , , , ,
372=, TYMON, 9, , , , , , ,
372=, WALLACE, 9, , , , , , ,
372=, WYATT, 9, , , , , , ,
401=, BRAYDEN, 8, , , , , , ,
401=, BRODEN, 8, , , , , , ,
401=, CAIRN, 8, , , , , , ,
401=, CAOLAN, 8, , , , , , ,
401=, CHRISTIAN, 8, , , , , , ,
401=, CONLAN, 8, , , , , , ,
401=, DARREN, 8, , , , , , ,
401=, DEAN, 8, , , , , , ,
401=, DONALD, 8, , , , , , ,
401=, EDDIE, 8, , , , , , ,
401=, EOGHAN, 8, , , , , , ,
401=, GREYSON, 8, , , , , , ,
401=, HASSAN, 8, , , , , , ,
401=, IDRIS, 8, , , , , , ,
401=, ISSAC, 8, , , , , , ,
401=, JOE, 8, , , , , , ,
401=, KASPER, 8, , , , , , ,
401=, KENZIE, 8, , , , , , ,
401=, KNOX, 8, , , , , , ,
401=, KYLIAN, 8, *, , , , , ,
401=, LEONIDAS, 8, , , , , , ,
401=, MACKENZIE, 8, , , , , , ,
401=, MADDOX, 8, , , , , , ,
401=, MALACHY, 8, , , , , , ,
401=, MALCOLM, 8, *, , , , , ,
401=, MARSHALL, 8, *, , , , , ,
401=, MIKOLAJ, 8, , , , , , ,
401=, MITCHELL, 8, , , , , , ,
401=, MUSTAFA, 8, , , , , , ,
401=, NIKO, 8, , , , , , ,
401=, RUAN, 8, , , , , , ,
401=, SANDY, 8, , , , , , ,
401=, SHAE, 8, , , , , , ,
401=, TEDDIE, 8, , , , , , ,
401=, TOMAS, 8, , , , , , ,
401=, TROY, 8, , , , , , ,
437=, ABDUL, 7, , , , , , ,
437=, AHMAD, 7, , , , , , ,
437=, AJAY, 7, , , , , , ,
437=, ALEC, 7, , , , , , ,
437=, ANTONIO, 7, , , , , , ,
437=, ARAN, 7, , , , , , ,
437=, ARON, 7, , , , , , ,
437=, AZAAN, 7, , , , , , ,
437=, BROOKLYN, 7, , , , , , ,
437=, BRUCE, 7, , , , , , ,
437=, CARLO, 7, *, , , , , ,
437=, COLIN, 7, , , , , , ,
437=, COLSON, 7, , , , , , ,
437=, CONAL, 7, , , , , , ,
437=, CRAIG, 7, , , , , , ,
437=, DREW, 7, , , , , , ,
437=, EDWIN, 7, , , , , , ,
437=, HAMZA, 7, , , , , , ,
437=, IVAR, 7, , , , , , ,
437=, JUSTIN, 7, , , , , , ,
437=, KAIRO, 7, , , , , , ,
437=, KANE, 7, , , , , , ,
437=, LINCOLN, 7, , , , , , ,
437=, LOCHIE, 7, *, , , , , ,
437=, LOCHLIN, 7, , , , , , ,
437=, LORENZO, 7, , , , , , ,
437=, MARKUS, 7, , , , , , ,
437=, MARLEY, 7, , , , , , ,
437=, MIKEY, 7, , , , , , ,
437=, ODHRAN, 7, , , , , , ,
437=, RAYAN, 7, , , , , , ,
437=, REMI, 7, , , , , , ,
437=, RITCHIE, 7, , , , , , ,
437=, ROME, 7, , , , , , ,
437=, SAMI, 7, , , , , , ,
437=, STANISLAW, 7, , , , , , ,
437=, STEFAN, 7, , , , , , ,
437=, TRISTAN, 7, , , , , , ,
437=, ZAYAAN, 7, , , , , , ,
437=, ZIGGY, 7, , , , , , ,
477=, ABDULLAH, 6, , , , , , ,
477=, ATLAS, 6, , , , , , ,
477=, AYDIN, 6, , , , , , ,
477=, BENTLEY, 6, , , , , , ,
477=, BRADY, 6, , , , , , ,
477=, BRIAN, 6, , , , , , ,
477=, CAI, 6, , , , , , ,
477=, CAIRO, 6, , , , , , ,
477=, CASS, 6, , , , , , ,
